PX575678.1	𝟇.1.7
FJ947202.1	𝟇.11.2
PP566178.1	𝟇.5.192
KR052760.1	𝟇.21.1
KC580496.1	𝟇.11.1
OQ799757.1	𝟇.5.85
OL989020.1	𝟇.1.17
PV430859.1	𝟇.5.9
FJ947853.1	𝟇.3.3
HM113528.1	𝟇.35
PV390418.1	𝟇.5.9
KT988297.1	𝟇.3.3
KC815697.1	𝟇.8.2
PV430841.1	𝟇.5.123
PP580394.1	𝟇.5.45
L15384.1	𝟇.2.2
ON855138.1	𝟇.3.2
GU984758.1	𝟇.1.15
MT240629.1	𝟇.1.3
OM982794.1	𝟇.5.159
MK228003.1	𝟇.5.30
KJ412801.1	𝟇.18.1
JN651801.1	𝟇.3.3
KJ919786.1	𝟇.1.3
JF693031.1	𝟇.1.3
PV390417.1	𝟇.5.15
PP453580.1	𝟇.7.3
PQ299976.1	𝟇.5.78
OM982776.1	𝟇.5.188
JF712559.1	𝟇.41
MK227986.1	𝟇.66.1
MK227985.1	𝟇.66.1
PP975114.1	𝟇.65.7
FJ947422.1	𝟇.3.3
JX867343.1	𝟇.6.3
MW575221.1	𝟇.5.3
OP358439.1	𝟇.93
JQ926453.1	𝟇.3.2
MK272920.1	𝟇.23.2
MT163181.1	𝟇.3.11
MT364828.1	𝟇.40.1
PV430912.1	𝟇.5.24
KP882925.1	𝟇.1.5
OR890149.1	𝟇.1.73
MK227989.1	𝟇.5.25
OP358440.1	𝟇.93
PV430844.1	𝟇.5.9
KJ482503.1	𝟇.5.211
KP752926.1	𝟇.5.154
ON737300.1	𝟇.1.79
KM027121.2	𝟇.20.2
KM027126.2	𝟇.20.2
MT784816.1	𝟇.34.2
PQ274860.1	𝟇.1.22
MK228018.1	𝟇.66.2
OQ799851.1	𝟇.5.9
KC580530.1	𝟇.11.1
LC569884.1	𝟇.22.3
OQ799858.1	𝟇.5.24
PP669367.1	𝟇.5.7
PV430922.1	𝟇.34.2
KC580449.1	𝟇.3.2
OQ799760.1	𝟇.5.9
KJ412886.1	𝟇.18.1
MW771186.1	𝟇.1.17
KT919451.1	𝟇.1.3
LC875979.1	𝟇.3.8
KC443602.1	𝟇.1.3
MK228019.1	𝟇.66.2
PX711369.1	𝟇.5.32
PX848835.1	𝟇.5.109
KT694965.1	𝟇.3.2
MG926770.1	𝟇.1.95
MK228024.1	𝟇.65.13
OR947986.1	𝟇.5.10
MK228037.1	𝟇.5.65
LC727980.1	𝟇.1.3
OM982728.1	𝟇.5.176
LC875859.1	𝟇.3.8
KC443316.1	𝟇.1.97
EU372781.1	𝟇.5.19
KC579535.1	𝟇.3.18
KF360212.1	𝟇.52
PV650046.1	𝟇.6.3
KF360213.1	𝟇.52
PV430916.1	𝟇.5.9
LC133518.1	𝟇.1.16
KJ820862.1	𝟇.17
MK272925.1	𝟇.84.1
JF990822.1	𝟇.1.3
PX942200.1	𝟇.108
MN478905.1	𝟇.3.2
PV430900.1	𝟇.12.43
OM982761.1	𝟇.5.149
MN478885.1	𝟇.3.2
PP053595.1	𝟇.3.15
PV390379.1	𝟇.5.10
KJ919788.1	𝟇.1.3
GQ149095.1	𝟇.3.20
LC876067.1	𝟇.3.8
DQ838649.1	𝟇.2.2
EU636929.1	𝟇.1.31
MZ097278.1	𝟇.46.5
MN649733.1	𝟇.88.5
OR947955.1	𝟇.101
PP053594.1	𝟇.5.9
PV430926.1	𝟇.12.5
PV430863.1	𝟇.5.9
PX137406.1	𝟇.5.10
LC213865.1	𝟇.3.3
FJ947411.1	𝟇.3.3
MN203573.1	𝟇.5.158
OQ799747.1	𝟇.5.24
PQ736902.1	𝟇.65.7
EU372777.1	𝟇.5.22
OQ799816.1	𝟇.5.10
PV390421.1	𝟇.5.115
KX363371.1	𝟇.3.8
KF907298.1	𝟇.15.1
PV430921.1	𝟇.5.10
MG781035.1	𝟇.81.2
OP947223.1	𝟇.46.6
OQ799825.1	𝟇.12.23
HM627557.1	𝟇.37
JX442791.1	𝟇.1.2
PP580389.1	𝟇.12.15
MN528120.1	𝟇.86
KF501110.1	𝟇.5.198
PP874454.1	𝟇.5.126
JN129101.1	𝟇.43
JQ713648.1	𝟇.3.3
KX825943.1	𝟇.3.6
PP669482.1	𝟇.5.7
PP053550.1	𝟇.12.28
LC095956.1	𝟇.1.19
KT887524.1	𝟇.1.61
OM982750.1	𝟇.5.83
MN203569.1	𝟇.5.70
KJ482499.1	𝟇.5.11
KX257406.1	𝟇.69.1
LC875913.1	𝟇.5.59
PV026145.1	𝟇.12.33
LC569895.1	𝟇.3.8
HM348746.1	𝟇.36
GU827410.1	𝟇.6.9
JN651768.1	𝟇.3.3
KM027122.2	𝟇.20.2
ON377051.1	𝟇.1.52
U85998.1	𝟇.11.5
KX363393.1	𝟇.5.48
ON191600.1	𝟇.6.3
LC876155.1	𝟇.3.60
OQ799791.1	𝟇.5.9
KF360215.1	𝟇.52
GU183245.1	𝟇.30
PV989902.1	𝟇.6.3
PV430821.1	𝟇.5.24
KJ628077.1	𝟇.7.1
MH697639.1	𝟇.12.3
OL988912.1	𝟇.1.17
GU183253.1	𝟇.5.131
EU200797.1	𝟇.1.10
KJ628076.1	𝟇.7.1
OR683337.1	𝟇.3.28
KU740021.1	𝟇.65.11
GU188283.1	𝟇.21.1
KF835926.1	𝟇.5.111
KC580192.1	𝟇.3.18
EU372785.1	𝟇.5.8
PV430849.1	𝟇.5.3
KU739978.1	𝟇.5.25
PV390404.1	𝟇.12.12
JF693042.1	𝟇.1.39
MK228010.1	𝟇.65.5
FJ947477.1	𝟇.11.1
LC528256.1	𝟇.76
KP006511.1	𝟇.1.90
OQ799873.1	𝟇.5.24
KX638621.1	𝟇.11.2
LC438394.1	𝟇.4.5
PV863440.1	𝟇.8.2
LC776469.1	𝟇.5.97
PZ135635.1	𝟇.1.19
LC340012.1	𝟇.2.7
MF184821.1	𝟇.1.10
JF796716.1	𝟇.5.110
PP580398.1	𝟇.5.79
FJ947864.1	𝟇.11.4
PX941926.1	𝟇.92.2
EU372791.1	𝟇.5.28
OR888521.1	𝟇.3.8
MN066876.1	𝟇.1.51
PV390378.1	𝟇.5.3
EF200570.1	𝟇.1.11
KU292534.1	𝟇.1.15
MH700486.1	𝟇.3.8
KJ820829.1	𝟇.17
PP053536.1	𝟇.5.10
KC175262.1	𝟇.1.10
LC095945.1	𝟇.22.6
MK228017.1	𝟇.66.3
OQ799865.1	𝟇.5.194
KX363414.1	𝟇.3.8
MK228026.1	𝟇.5.30
KY937206.1	𝟇.34.2
FJ347104.1	𝟇.1.59
MT271027.1	𝟇.58.1
EU372766.1	𝟇.5.175
OL988984.1	𝟇.1.17
PP848585.1	𝟇.1.34
OR947978.1	𝟇.5.10
MZ165495.1	𝟇.12.3
PX677613.1	𝟇.5.58
KY972084.1	𝟇.62
AB749351.1	𝟇.1.23
MK638874.1	𝟇.1.89
KC174936.1	𝟇.1.10
AB749355.1	𝟇.1.23
PQ299932.1	𝟇.5.17
KC579502.1	𝟇.11.1
KJ752065.1	𝟇.1.34
KJ659446.1	𝟇.57
PV430786.1	𝟇.5.54
MK227987.1	𝟇.66.1
OR888523.1	𝟇.5.10
PP384143.1	𝟇.5.24
PV430846.1	𝟇.5.3
PV390398.1	𝟇.5.197
JF720873.1	𝟇.1.2
OR947989.1	𝟇.5.10
HM773859.1	𝟇.11.1
PP053601.1	𝟇.34.2
PV390402.1	𝟇.5.24
PQ724852.1	𝟇.104
PP751075.1	𝟇.6.5
KX363403.1	𝟇.22.5
PV430842.1	𝟇.5.157
KJ748469.1	𝟇.1.23
ON059876.1	𝟇.94
OM982716.1	𝟇.5.176
PV430784.1	𝟇.5.54
LC433800.1	𝟇.31
KC175185.1	𝟇.1.10
PV430864.1	𝟇.12.11
OR947973.1	𝟇.5.24
KC580009.1	𝟇.11.1
MH697617.1	𝟇.12.3
AY601552.1	𝟇.12.8
PV430847.1	𝟇.5.3
JN827249.1	𝟇.2.2
KJ628079.1	𝟇.7.1
PV390432.1	𝟇.5.134
JF521466.1	𝟇.3.33
LC553621.1	𝟇.2.1
KM820724.1	𝟇.5.160
MH238313.1	𝟇.82.2
HQ611032.2	𝟇.22.2
OQ215305.1	𝟇.1.17
KC579634.1	𝟇.11.1
MN552053.1	𝟇.87
MH267277.1	𝟇.21.5
KC175076.1	𝟇.1.10
PP848581.1	𝟇.1.34
MT784821.1	𝟇.34.2
PV430869.1	𝟇.5.15
MF940714.1	𝟇.21.1
HQ661127.1	𝟇.40.4
PX137424.1	𝟇.5.55
MN066883.1	𝟇.3.6
GU183241.1	𝟇.1.12
KC769474.1	𝟇.3.24
KJ626552.1	𝟇.15.1
PP255814.1	𝟇.3.25
OQ440226.1	𝟇.97.1
KJ482504.1	𝟇.56
PX941725.1	𝟇.106
FJ947246.1	𝟇.11.4
MW331506.1	𝟇.46.5
MG407649.1	𝟇.34.2
MH238303.1	𝟇.82.1
PX677603.1	𝟇.5.58
KF035111.1	𝟇.51
OR683315.1	𝟇.5.42
KY055420.1	𝟇.58.2
OQ799771.1	𝟇.3.9
GU183255.1	𝟇.5.27
MH267276.1	𝟇.5.105
KJ412874.1	𝟇.15.1
JN872869.1	𝟇.42
KJ482490.1	𝟇.5.11
MZ065701.1	𝟇.1.48
MH238311.1	𝟇.83
PP053586.1	𝟇.5.43
PV430860.1	𝟇.5.3
FJ947466.1	𝟇.11.1
AB374146.1	𝟇.1.42
LC001926.1	𝟇.4.1
PV430885.1	𝟇.12.6
EU372760.1	𝟇.5.28
MW752843.1	𝟇.2.8
JF742650.1	𝟇.1.23
OQ799805.1	𝟇.3.28
KJ628068.1	𝟇.42
PV390422.1	𝟇.5.5
PP580391.1	𝟇.12.15
LC777964.1	𝟇.5.2
HQ127441.1	𝟇.39
PV430817.1	𝟇.12.45
MK227391.1	𝟇.3.21
KU508384.1	𝟇.6.14
JQ004974.1	𝟇.26.2
MT226628.1	𝟇.1.31
MN649741.1	𝟇.27
KJ803839.1	𝟇.2.4
KJ482494.1	𝟇.5.11
OQ799804.1	𝟇.12.15
MK228034.1	𝟇.5.209
OQ799797.1	𝟇.5.141
OR947980.1	𝟇.3.15
MK228022.1	𝟇.65.13
MH238309.1	𝟇.82.2
PP053531.1	𝟇.5.23
PV430835.1	𝟇.5.50
OQ082573.1	𝟇.1.17
PV430873.1	𝟇.12.22
KF835922.1	𝟇.3.47
PQ299997.1	𝟇.5.214
PP053549.1	𝟇.12.20
KC815673.1	𝟇.7.2
JN903519.1	𝟇.8.2
LC001921.1	𝟇.4.1
MT025937.1	𝟇.21.1
MN649742.1	𝟇.88.3
KC175043.1	𝟇.1.10
PP669415.1	𝟇.5.7
OQ603393.1	𝟇.26.2
MH624177.1	𝟇.65.7
KC580225.1	𝟇.11.1
JX271005.1	𝟇.6.9
MZ848180.1	𝟇.1.17
MT784820.1	𝟇.34.2
OQ799808.1	𝟇.5.94
ON454216.1	𝟇.1.37
EU753964.1	𝟇.3.19
OQ799827.1	𝟇.12.23
KJ870904.1	𝟇.58.1
OR205417.1	𝟇.1.10
KY657828.1	𝟇.3.23
MN649735.1	𝟇.88.1
LC133540.1	𝟇.1.67
KY657833.1	𝟇.3.23
HQ127438.1	𝟇.39
PV430814.1	𝟇.12.10
MT501456.1	𝟇.1.40
KC610693.1	𝟇.5.146
KM027123.2	𝟇.20.2
PV430804.1	𝟇.34.2
GU183246.1	𝟇.5.114
KM454507.1	𝟇.8.1
PP053523.1	𝟇.5.23
KY971968.1	𝟇.62
PX677585.1	𝟇.5.58
LC169878.1	𝟇.1.19
KX814934.1	𝟇.72
EF200565.1	𝟇.1.2
PV390390.1	𝟇.5.3
LC876034.1	𝟇.34.2
OR756385.1	𝟇.34.3
EF554097.1	𝟇.1.83
OQ799795.1	𝟇.5.88
LC467913.1	𝟇.8.1
PV390407.1	𝟇.12.12
KF729027.1	𝟇.18.1
KJ482498.1	𝟇.5.82
KF661455.2	𝟇.3.44
LC777941.1	𝟇.79
PV430852.1	𝟇.5.123
GQ428143.1	𝟇.1.43
OK651098.1	𝟇.93
KJ482485.1	𝟇.5.56
EU372792.1	𝟇.5.28
PP669426.1	𝟇.5.7
MW771175.1	𝟇.1.17
OQ799796.1	𝟇.5.79
PP465001.1	𝟇.1.32
PV430825.1	𝟇.5.52
KC579672.1	𝟇.11.1
MK228020.1	𝟇.66.6
PQ638347.1	𝟇.12.18
PP025572.1	𝟇.15.1
PP053584.1	𝟇.5.67
PX575682.1	𝟇.1.82
PV390406.1	𝟇.5.3
OR205480.1	𝟇.1.72
MK228014.1	𝟇.66.5
EU372793.1	𝟇.5.22
DQ146695.1	𝟇.4.4
PP855882.1	𝟇.77.1
PP580400.1	𝟇.3.25
OR192607.1	𝟇.98
PV430925.1	𝟇.12.5
GU937881.1	𝟇.1.35
MK228041.1	𝟇.5.152
KJ450836.1	𝟇.2.2
KJ752490.1	𝟇.5.151
PP580402.1	𝟇.12.41
OQ440198.1	𝟇.5.86
EF583013.1	𝟇.13.1
KC412050.1	𝟇.49.2
PQ299910.1	𝟇.97.1
LC328187.1	𝟇.17
OR192593.1	𝟇.5.34
OQ799803.1	𝟇.5.153
MK228021.1	𝟇.5.46
KM027134.2	𝟇.3.29
FJ947875.1	𝟇.11.4
MZ065742.1	𝟇.3.43
EU372772.1	𝟇.5.22
OQ440161.1	𝟇.3.45
PV430822.1	𝟇.5.52
MH238302.1	𝟇.82.4
KX212868.1	𝟇.1.17
JQ863313.1	𝟇.3.33
OR683348.1	𝟇.3.28
PV430918.1	𝟇.12.15
LC776528.1	𝟇.5.87
OR888522.1	𝟇.5.3
LC553588.1	𝟇.1.54
MN067459.1	𝟇.1.55
MN433621.1	𝟇.46.3
PV430890.1	𝟇.5.15
KU739995.1	𝟇.67
PV390387.1	𝟇.12.29
OR683370.1	𝟇.5.42
KJ628086.1	𝟇.7.1
LC001925.1	𝟇.4.1
LC328217.1	𝟇.23.4
KC174925.1	𝟇.1.10
FJ947345.1	𝟇.11.2
OR947941.1	𝟇.5.23
JN790188.1	𝟇.1.30
PV430910.1	𝟇.34.2
OR192602.1	𝟇.5.34
AF317127.1	𝟇.1.30
MH238291.1	𝟇.82.1
AB573082.1	𝟇.2.5
KF447843.1	𝟇.3.27
PP053555.1	𝟇.12.15
OP978242.1	𝟇.21.1
JN129106.1	𝟇.43
KC174968.1	𝟇.1.10
LC190490.1	𝟇.5.136
PV430819.1	𝟇.12.15
OP886877.1	𝟇.5.5
PP848587.1	𝟇.1.34
PP053576.1	𝟇.5.186
KX814955.1	𝟇.24.2
KP882683.1	𝟇.1.23
MN528092.1	𝟇.85
PV430882.1	𝟇.12.10
OR947988.1	𝟇.12.9
KJ412845.1	𝟇.15.1
PV430870.1	𝟇.5.15
ON059875.1	𝟇.94
EF554108.1	𝟇.6.13
LC389889.1	𝟇.3.28
LC469485.1	𝟇.1.25
JQ230102.1	𝟇.44
KJ628071.1	𝟇.7.1
KJ628081.1	𝟇.7.1
PQ274861.1	𝟇.1.58
JQ031150.1	𝟇.26.2
OL988948.1	𝟇.1.17
KT281125.1	𝟇.2.1
MK947091.1	𝟇.2.10
ON012978.1	𝟇.1.22
MF940605.1	𝟇.21.1
PQ299921.1	𝟇.5.40
PP053537.1	𝟇.12.9
PP053556.1	𝟇.5.15
AB908927.1	𝟇.8.1
PX677644.1	𝟇.5.69
PX677633.1	𝟇.5.58
PP580392.1	𝟇.12.15
EU372765.1	𝟇.5.8
LC001930.1	𝟇.4.1
PQ141610.1	𝟇.5.190
OR267150.1	𝟇.6.3
EU708916.1	𝟇.23.5
LC467935.1	𝟇.8.1
KJ482493.1	𝟇.5.11
EU372779.1	𝟇.5.22
PV390424.1	𝟇.5.5
KU714448.1	𝟇.64
ON454215.1	𝟇.1.37
MH697628.1	𝟇.12.3
PV430783.1	𝟇.12.17
PP025573.1	𝟇.15.1
PP053572.1	𝟇.3.28
KU243657.1	𝟇.46.7
PV430868.1	𝟇.5.15
PX137341.1	𝟇.5.15
MG214341.1	𝟇.1.5
OQ799780.1	𝟇.3.13
X94618.1	𝟇.1.85
PP053596.1	𝟇.3.15
KJ628065.1	𝟇.7.1
PP848583.1	𝟇.1.34
JN129109.1	𝟇.43
MN528079.1	𝟇.85
AY594670.1	𝟇.13.1
KU739960.1	𝟇.65.6
AB924110.1	𝟇.5.101
MH238314.1	𝟇.5.103
MN066960.1	𝟇.1.23
KM820728.1	𝟇.5.119
PV390414.1	𝟇.5.47
MN649736.1	𝟇.27
OR888517.1	𝟇.100
OM450982.1	𝟇.40.1
PP053557.1	𝟇.5.135
L11595.1	𝟇.26.2
KJ628070.1	𝟇.42
KY077644.1	𝟇.58.1
MF940716.1	𝟇.21.1
PX353002.1	𝟇.5.32
AY787645.1	𝟇.4.1
OP358441.1	𝟇.93
KC149926.1	𝟇.48
LC169911.1	𝟇.1.19
KJ820840.1	𝟇.20.2
LC600813.1	𝟇.3.57
PQ384422.1	𝟇.21.2
LC433811.1	𝟇.31
PP053575.1	𝟇.5.108
EF583009.1	𝟇.1.31
PV430806.1	𝟇.12.15
PV390403.1	𝟇.12.12
KF835923.1	𝟇.29.1
MK936417.1	𝟇.82.1
HQ846848.1	𝟇.1.31
LC326508.1	𝟇.46.2
LC467836.1	𝟇.7.3
MN029119.1	𝟇.6.10
KJ628084.1	𝟇.7.1
KC610704.1	𝟇.5.133
PX942027.1	𝟇.107
MK228002.1	𝟇.65.1
PP053589.1	𝟇.3.4
LC169867.1	𝟇.1.19
JN129103.1	𝟇.43
KC152910.1	𝟇.1.23
MT025915.1	𝟇.57
JF720875.1	𝟇.1.21
GU138213.3	𝟇.3.10
MK228007.1	𝟇.5.29
KM820727.1	𝟇.5.100
OQ799761.1	𝟇.5.162
LC095879.1	𝟇.5.124
PV430803.1	𝟇.12.19
PV430829.1	𝟇.5.52
EU372774.1	𝟇.5.22
KX548932.1	𝟇.2.2
KP753194.1	𝟇.5.35
MK227979.1	𝟇.66.1
OQ799775.1	𝟇.5.77
OR683304.1	𝟇.5.42
OQ799823.1	𝟇.5.94
KC139784.1	𝟇.12.28
PV430851.1	𝟇.5.113
MK227977.1	𝟇.67
FJ031028.1	𝟇.26.2
PQ349607.1	𝟇.7.3
KF690129.1	𝟇.1.65
MT234360.1	𝟇.1.60
LC095923.1	𝟇.22.6
L11596.1	𝟇.26.1
PX476019.1	𝟇.18.1
KJ412856.1	𝟇.18.1
MN649739.1	𝟇.88.2
OR890150.1	𝟇.1.6
LC460234.1	𝟇.8.1
PX529709.1	𝟇.1.68
MT796873.1	𝟇.4.2
PP025571.1	𝟇.15.1
MK936419.1	𝟇.5.215
KP883134.1	𝟇.1.5
PV430832.1	𝟇.5.96
KP752771.1	𝟇.5.31
AY187029.1	𝟇.2.2
KF036169.1	𝟇.6.3
KJ628087.1	𝟇.7.1
PV430875.1	𝟇.5.113
PV390397.1	𝟇.3.55
MN203577.1	𝟇.5.196
PV430928.1	𝟇.5.66
MN649740.1	𝟇.88.2
PP235801.1	𝟇.21.2
KU739940.1	𝟇.65.5
EU372753.1	𝟇.5.8
KY971966.1	𝟇.62
MT276805.1	𝟇.1.18
MK953563.1	𝟇.3.30
AF531913.1	𝟇.12.8
AB741653.1	𝟇.5.187
OP971579.1	𝟇.49.1
KU739986.1	𝟇.65.1
LC460223.1	𝟇.7.3
EF583044.1	𝟇.1.18
KF835927.1	𝟇.3.38
MH060102.1	𝟇.1.19
MK272928.1	𝟇.4.1
ON059874.1	𝟇.94
LC169856.1	𝟇.1.19
HQ661138.1	𝟇.40.4
AF317128.1	𝟇.10
LC776516.1	𝟇.5.161
MG781056.1	𝟇.22.4
LC133529.1	𝟇.1.16
PP053553.1	𝟇.5.15
PQ300008.1	𝟇.97.1
PP669526.1	𝟇.5.7
KU363133.1	𝟇.5.8
LC467858.1	𝟇.7.2
JF781162.1	𝟇.12.25
PQ299853.1	𝟇.5.40
PX137484.1	𝟇.5.52
OQ799774.1	𝟇.12.44
EU372767.1	𝟇.5.22
OR501091.1	𝟇.24.4
JN129111.1	𝟇.43
EU791923.1	𝟇.24.1
HQ440218.1	𝟇.1.75
KC152918.1	𝟇.6.3
PV430816.1	𝟇.5.52
KP883024.1	𝟇.1.5
KR052728.1	𝟇.5.51
PP053568.1	𝟇.3.41
PQ581884.1	𝟇.5.178
EU372759.1	𝟇.5.28
KU317470.1	𝟇.6.4
JQ230099.1	𝟇.3.10
KJ482492.1	𝟇.5.11
PX677655.1	𝟇.5.64
PV430812.1	𝟇.5.203
AB770154.1	𝟇.5.189
AB749333.1	𝟇.6.2
LC169889.1	𝟇.1.19
KC960623.1	𝟇.50
FJ361206.1	𝟇.11.5
MW720871.1	𝟇.18.4
LC576612.1	𝟇.77.2
OQ411031.1	𝟇.5.140
JQ230097.1	𝟇.22.1
GQ477086.2	𝟇.6.3
PP053541.1	𝟇.5.15
MN649737.1	𝟇.27
OM982818.1	𝟇.5.202
KJ412725.1	𝟇.15.1
DQ288659.1	𝟇.16
JF742649.1	𝟇.1.56
OR947981.1	𝟇.3.15
PV390425.1	𝟇.12.32
PP391054.1	𝟇.12.2
MT364872.1	𝟇.40.1
KX268769.1	𝟇.70
PP580399.1	𝟇.5.45
JN831224.1	𝟇.1.34
KU243653.1	𝟇.63.3
PV158733.1	𝟇.1.13
KR054358.1	𝟇.5.99
PX137178.1	𝟇.5.16
KY657819.1	𝟇.3.7
JX416207.1	𝟇.11.2
LC026105.1	𝟇.1.23
PQ141630.1	𝟇.5.88
EF200571.1	𝟇.1.74
OR888511.1	𝟇.3.31
LC061624.1	𝟇.74
PX313702.1	𝟇.1.90
KY971970.1	𝟇.62
MH238304.1	𝟇.82.1
KX638599.1	𝟇.3.50
JN129102.1	𝟇.43
PP053590.1	𝟇.3.4
GU296429.1	𝟇.32
OQ799778.1	𝟇.12.24
KY972034.1	𝟇.62
OR267151.1	𝟇.6.3
PQ299899.1	𝟇.5.4
JX070051.1	𝟇.1.44
PV430872.1	𝟇.12.22
FJ947842.1	𝟇.11.2
FJ947754.1	𝟇.11.2
JX040422.1	𝟇.1.20
EU372798.1	𝟇.5.19
KY053212.1	𝟇.5.129
KX638623.1	𝟇.11.5
HQ834200.1	𝟇.26.2
HM348747.1	𝟇.22.7
KT878994.1	𝟇.1.61
KU363134.1	𝟇.5.167
AB971552.1	𝟇.4.1
PP874419.1	𝟇.5.150
FJ947378.1	𝟇.11.2
JF796727.1	𝟇.5.110
EU372795.1	𝟇.5.22
KU887648.1	𝟇.3.12
EU372796.1	𝟇.5.19
PX137458.1	𝟇.5.52
PZ520697.1	𝟇.5.32
KU243651.1	𝟇.1.69
KP198638.1	𝟇.6.1
KJ659489.1	𝟇.11.2
LC704669.1	𝟇.78.2
LC328216.1	𝟇.23.4
MK228006.1	𝟇.5.29
DQ205226.1	𝟇.14.2
X00421.1	𝟇.2.2
PV650024.1	𝟇.6.3
PQ384406.1	𝟇.103.2
PP874430.1	𝟇.5.117
EU372794.1	𝟇.5.19
JF896469.1	𝟇.2.2
EF554152.1	𝟇.1.27
MK228031.1	𝟇.66.7
LC460212.1	𝟇.7.2
MK228043.1	𝟇.5.30
LC001933.1	𝟇.4.1
JX040423.1	𝟇.47
PP580401.1	𝟇.5.45
PV430820.1	𝟇.12.45
KX265694.1	𝟇.6.4
KY972033.1	𝟇.62
PP053552.1	𝟇.3.28
LC777952.1	𝟇.5.118
MH769739.1	𝟇.2.2
EF200569.1	𝟇.19.2
EF583036.1	𝟇.4.4
KJ628069.1	𝟇.42
DQ838647.1	𝟇.2.2
PP645797.1	𝟇.1.50
MF940607.1	𝟇.21.1
PX700940.1	𝟇.6.5
EU372787.1	𝟇.5.28
PV430854.1	𝟇.5.113
MK228013.1	𝟇.66.5
MK228028.1	𝟇.5.29
KR086411.1	𝟇.41
OR192582.1	𝟇.5.34
OP487400.2	𝟇.1.80
KR052771.1	𝟇.21.1
PX137357.1	𝟇.5.15
OQ799821.1	𝟇.5.213
ON737642.1	𝟇.3.46
KX363382.1	𝟇.5.48
GU390421.2	𝟇.4.3
DQ873675.1	𝟇.12.31
KR052739.1	𝟇.21.8
MH423866.1	𝟇.21.1
PQ299987.1	𝟇.5.199
KJ626957.1	𝟇.15.1
KU243644.1	𝟇.1.76
MK228012.1	𝟇.5.60
KX363332.1	𝟇.5.130
PV430793.1	𝟇.12.27
OQ799807.1	𝟇.5.36
MN477229.1	𝟇.85
KU739990.1	𝟇.65.2
OQ799809.1	𝟇.5.180
OK651099.1	𝟇.93
LC875946.1	𝟇.5.21
PV430810.1	𝟇.5.74
LC776550.1	𝟇.5.212
KJ412910.1	𝟇.18.1
KT935479.1	𝟇.62
KU887649.1	𝟇.5.184
JQ993320.1	𝟇.5.182
KY657841.1	𝟇.1.63
PV164610.1	𝟇.3.35
AB573073.1	𝟇.2.12
EF583020.1	𝟇.1.98
AY601551.1	𝟇.12.8
KF577842.1	𝟇.54
ON221575.1	𝟇.95
PX941509.1	𝟇.1.22
KJ748480.1	𝟇.1.23
DQ146702.1	𝟇.15.1
PP053571.1	𝟇.5.135
KY971973.1	𝟇.62
OK318953.1	𝟇.1.23
KY657832.1	𝟇.3.23
PQ586680.1	𝟇.21.2
LC328220.1	𝟇.46.1
KF835924.1	𝟇.3.12
PV430865.1	𝟇.12.11
MN203570.1	𝟇.5.70
KM820726.1	𝟇.5.191
MH238300.1	𝟇.82.1
KU128896.1	𝟇.1.45
KX268780.1	𝟇.33.2
MW292233.1	𝟇.2.1
JN129100.1	𝟇.43
GQ477107.3	𝟇.29.2
KY657820.1	𝟇.3.7
KF541285.1	𝟇.13.2
OQ799801.1	𝟇.12.15
LC880281.1	𝟇.71.1
